"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：五妙水仙膏
汉语拼音：Wumiao Shuixian Gao",【成份】黄柏、紫草、五倍子、碳酸钠、生石灰、,【性状】本品为黑褐色混悬液体。,【功能主治】本品具有去腐生新，清热解毒的作用。主治毛囊炎、结节性痒疹、寻常疣、神经性皮炎等。
"【药品名称】
通用名称：五松肿痛酊
汉语拼音：Wusong Zhongtong Ding",【成份】买麻藤36g、松树笔20g、五味藤15g、透骨香15g、两面针24g、红花10g、樟脑10g、青木香10g、蝙蝠葛15g、五叶泡15g、干姜15g、薄荷脑15g、制成、1000ml、,【性状】本品为棕黄色至棕红色的液体；具特异香气。,"【功能主治】 活血散瘀，消肿止痛，祛风除湿。用于风湿关节疼痛（寒痹）,跌打肿痛（急性扭挫伤）等"
"【药品名称】
通用名称：五味甘露滋补丸
汉语拼音：Wuwei Ganlu Zibu Wan",【成份】茅膏菜、手参、诃子、寒水石(制)、红糖,,【功能主治】明目，养荣强壮。用于气血亏虚、眼睛昏花、滋补。
"【药品名称】
通用名称：五味健脑口服液
汉语拼音：Wuwei Jiannao Koufuye",【成份】制何首乌、淫羊霍（炙）、干姜、大枣（去核）、甘草、蔗糖、苯甲酸钠,,【功能主治】补肾健脑。用于神经衰弱，失眠健忘。
"【药品名称】
通用名称：五味清浊丸
汉语拼音：Wuwei Qingzhuo Wan",【成份】石榴皮、红花、豆?肉桂、荜茇,,【功能主治】开郁消食，暧胃。用于食欲不振，消化不良，胃脘冷痛，满闷嗳气，腹胀泄泻。
"【药品名称】
通用名称：五味沙棘散
汉语拼音：Wuwei Shaji San",【成份】沙棘膏、木香、白葡萄干、甘草、栀子,,【功能主治】清热祛痰，止咳定喘。用于肺热久嗽，喘促痰多，胸中满闷，胸胁作痛。
"【药品名称】
通用名称：五味香连丸
汉语拼音：Wuwei Xianglian Wan",【成份】木香、黄连、吴茱萸(甘草炙)、白芍、延胡索、,【性状】本品为黄色至黄褐色的水丸；气微香，甜苦。,【功能主治】清热燥湿，行气止痛。用于肠胃湿热引起的腹痛腹泻，红白痢疾脓血相杂，里急后重。
"【药品名称】
通用名称：五味子片
汉语拼音：Wuweizi Pian",【成份】五味子、微晶纤维素、滑石粉,,【功能主治】收敛固涩，益气生津，补肾宁心。用于心肾不足所致的心悸失眠，自汗盗汗，及神经衰弱见上述症状者。
"【药品名称】
通用名称：五味子丸
汉语拼音：Wuweizi Wan",【成份】五味子(酒制)、巴戟天(制)、肉苁蓉(酒制)、菟丝子(酒炒)、茯苓、车前子(盐制)。,【性状】本品为黑色大蜜丸；味苦、微酸。,【功能主治】滋阴补气，填精益髓。用于肾气不足，腰膝疼痛，记忆衰退，头晕耳鸣，四肢无力。
"【药品名称】
通用名称：五香丸
汉语拼音：Wuxiang Wan",【成份】香附(醋炙)、丁香、木香、五灵脂(醋炙)、牵牛子(炒)。,【性状】本品为紫黑色的水丸；气芳香，味辛。,【功能主治】　消积化痞，宽胸止痛。用于气郁结滞，宿食停水引起：胸胁胀满，胃寒腹痛，嗳气嘈杂，积聚痞块，大便不畅。
"【药品名称】
通用名称：五子补肾酒
汉语拼音：Wuzi Bushen Jiu",【成份】紫梢花、枸杞子、鹿茸、淫羊藿、蛇床子、韭菜子、覆盆子、菟丝子、五味子、肉桂、丁香、小茴香、当归、熟地黄、人参、山药、车前子、炙甘草,【性状】本品为棕色或棕褐色的液体；气香，味微甜酸、苦涩。,【功能主治】补肾助阳。适用于肾阳不足所致的腰膝酸软，形寒肢冷，神疲乏力，夜尿频多。
"【药品名称】
通用名称：五子衍宗片
汉语拼音：Wuzi Yanzong Pian",【成份】枸杞子、菟丝子(炒)、覆盆子、五味子(蒸)、车前子(盐水炙)。,"【性状】本品为　　色糖衣片,除去糖衣后显褐色；味酸。",【功能主治】补肾益精。用于腰酸腿软，遗精早泄，阳痿不育。
"【药品名称】
通用名称：五子衍宗丸
汉语拼音：Wu Zi Yan Zong Wan",【成份】枸杞子、菟丝子(炒)、覆盆子、五味子(蒸)、车前子(盐炒)。,,【功能主治】补肾益精。用于肾虚精亏所致的阳痿不育、遗精早泄、腰痛、尿后余沥。
"【药品名称】
通用名称：五子衍宗丸（水蜜丸）
汉语拼音：wu zi yan zong wan(shui mi wan)",【成份】同上。,【性状】本品为棕褐色的水蜜丸；味甜，酸、微苦。,【功能主治】同上。
"【药品名称】
通用名称：五子益肾酒
汉语拼音：Wuzi Yishen Jiu",【成份】人参、黄芪、补骨脂(盐炒)、巴戟天(制)、肉苁蓉、山茱萸(制)、枸杞子、覆盆子、制何首乌、杜仲(盐炒)、肉桂、菟丝子、山药、砂仁、白术、麦冬、天冬、五味子、熟地黄、黄柏(盐炒)、菊花、车前子(盐炒)、柏子仁、远志(制),【性状】本品为棕黄色至棕色的液体，久置有少量沉淀；气香，味微苦。,【功能主治】滋阴助阳，健脾益肾。适用于脾肾两虚所致的腰膝酸软，眩晕耳鸣，身倦乏力。
"【药品名称】
通用名称：午时茶颗粒
汉语拼音：Wu Shi Cha Ke Li",【成份】红茶、广藿香、羌活、紫苏叶、苍术、连翘、厚朴、六神曲（炒）、山楂、麦芽（炒）、甘草、柴胡、防风、白芷、川芎、前胡、陈皮、枳实、桔梗。辅料为蔗糖。,,【功能主治】祛风解表，化湿和中。用于外感风寒、内伤食积证，症见恶寒发热、头痛身楚、胸脘满闷、恶心呕吐、腹痛腹泻。
"【药品名称】
通用名称：武红灵散（武红灵丹）
汉语拼音：Wuhongling San",【成份】麝香、蟾酥粉、冰片、硼砂、金礞石、雄黄、硝石、朱砂、,【性状】本品为棕色至红棕色的粉末；气香，味咸、凉、麻、微苦。,【功能主治】　开窍解毒，祛暑避瘟。用于暑邪蒙闭心窍引起：神志昏迷，关窍不通，牙关紧闭，四肢厥逆。
"【药品名称】
通用名称：西洋参花粉口服液
汉语拼音：xi yang shen hua fen kou fu ye",【成份】西洋参、枸杞子、蜂花粉，辅料为蜂蜜，枸橼酸钠，山梨酸钾。,【性状】本品为黄色或黄褐色的粘稠混悬液，久置有沉淀或絮状物；味甜。,【功能主治】益气养阴。适用于气阴两虚见有体虚乏力，心悸气短，食欲不振，易于疲劳，咽干口燥，五心烦热，头晕，便干。
"【药品名称】
通用名称：小儿麻甘颗粒
汉语拼音：xiaoermagan keli",【成份】麻黄、黄芩、紫苏子、甘草、桑白皮、苦杏仁、地骨皮、石膏,【性状】本品为棕黄色的颗粒；味甜、微苦,【功能主治】平喘止咳，利咽祛痰。用于小儿肺炎咳喘，咽喉炎症
"【药品名称】
通用名称：消痛贴膏
汉语拼音：Xiaotong Tiegao",【成份】独一味、棘豆、姜黄、花椒、水牛角、水柏枝。,【性状】本品为湿敷药贴；药粉为黄色粉末，有特殊香气。,【功能主治】活血化瘀，消肿止痛。用于急慢性扭挫伤、跌打瘀痛、骨质增生、风湿及类风湿疼痛。亦适用于落枕、肩周炎、腰肌劳损和陈旧性伤痛等。
"【药品名称】
通用名称：小儿解热丸
汉语拼音：Xiao’er Jiere Wan",【成份】牛黄、胆南星、全蝎、麝香、天麻、钩藤、琥珀、珍珠、僵蚕、羌活、冰片、朱砂等22味。,【性状】本品为棕褐色的大蜜丸；气香，味微苦。,"【功能主治】清热化痰，镇惊，息风。用于小儿感冒发烧、痰涎壅盛,高热惊风,项背强直，手足抽动，神昏不醒，呕吐咳嗽。"
"【药品名称】
通用名称：小儿清热解毒口服液
汉语拼音：Xiao Er Qing Re Jie Du Kou Fu Ye",,,
"【药品名称】
通用名称：小儿泻痢片
汉语拼音：Xiao’er Xieli Pian",【成份】葛根、黄芩、黄连、厚朴、白芍、茯苓、山楂（焦）、乌梅、甘草、滑石粉。,【性状】本品为糖衣片，除去糖衣后显棕褐色；气微，味苦。,【功能主治】清热化湿，止泻止痢。用于湿热腹泻，红、白痢疾等。
"【药品名称】
通用名称：血塞通注射液
汉语拼音：Xuesaitong Zhusheye",【成份】三七总皂苷。,【性状】本品为淡黄色或黄色的澄明液体。,【功能主治】活血祛瘀，通脉活络。用于中风偏瘫、瘀血阻络及脑血管疾病后遗症、视网膜中央静脉阻塞属瘀血阻滞证者，
"【药品名称】
通用名称：西黄丸
汉语拼音：Xihuang Wan",【成份】牛黄、乳香(醋制)、没药(醋制)、麝香。,【性状】本品为褐色的糊丸；气芳香，味微苦。,【功能主治】清热解毒，和营消肿。用于痈疽疔毒，瘰疬，流注，癌肿等。
"【药品名称】
通用名称：夏枯草膏
汉语拼音：xia ku cao gao",【成份】夏枯草。,,【功能主治】清火，明目，散结，消肿。用于头痛，眩晕，瘰疬，瘿瘤，乳痈肿痛，甲状腺肿大，淋巴结结核，乳线增生症。
"【药品名称】
通用名称：仙灵骨葆胶囊
汉语拼音：xian ling gu bao jiao nang",【成份】淫羊藿、续断、丹参、知母、补骨脂、地黄。,【性状】本品为胶囊剂，内容物为棕黄色至棕褐色粉末，味微苦。,【功能主治】滋补肝肾，活血通络，强筋壮骨。用于肝肾不足，瘀血阻络所致骨质疏松症，症见腰脊疼痛，足膝酸软，乏力。
"【药品名称】
通用名称：香丹注射液
汉语拼音：Xiangdan Zhusheye",【成份】丹参、降香、,【性状】本品为棕色的澄明液体。,【功能主治】扩张血管，增进冠状动脉血流量。用于心绞痛，亦可用于心肌梗塞等。
"【药品名称】
通用名称：香菊片
汉语拼音：xiang ju pian",【成份】化香树果序、夏枯草、野菊花、生黄芪、辛夷、防风、白芷、甘草、川芎。辅料为淀粉、滑石粉、硬脂酸镁。,【性状】本品为糖农片，除去糖衣后显棕黑色；气微香，味酸、微苦、甜。,【功能主治】辛散祛风，清热通窍。用于治疗急、慢性鼻窦炎、鼻炎。
"【药品名称】
通用名称：香连化滞丸
汉语拼音：Xianglian Huazhi Wan",【成份】黄连、木香、黄芩、枳实(麸炒)、厚朴(姜炙)、陈皮、青皮(醋炙)、当归、白芍(炒)、槟榔(炒)、滑石、甘草。,【性状】本品为棕褐色的大蜜丸；气微香，味微苦。,【功能主治】清热利湿，行血化滞。用于温热凝滞引起的里急后重，腹痛下痢
"【药品名称】
通用名称：香连片
汉语拼音：xiang lian pian",【成份】黄连(吴茱萸制)、木香。,【性状】本品为　　色糖衣片(薄膜衣片)，除去包衣后，显黄褐色；气微，味苦。,【功能主治】清热燥湿，行气止痛。用于泄泻腹痛，便黄而粘。
"【药品名称】
通用名称：香砂六君片
汉语拼音：Xiangsha Liujun Pian",【成份】党参、白术(炒)、茯苓、木香、砂仁、陈皮、半夏(姜制)、大枣、生姜、炙甘草。,【性状】本品为淡黄色片；气香，味微甘、微辛。,【功能主治】益气健脾，和胃。用于脾虚气滞，消化不良，嗳气食少，脘腹胀满，大便溏泄。
"【药品名称】
通用名称：香砂平胃颗粒
汉语拼音：Xiangsha Pingwei keli",【成份】苍术(炒)、厚朴(姜炙)、陈皮、砂仁、香附(醋炙)、甘草。,【性状】本品为灰黄色的颗粒；味甜，微苦。,【功能主治】健脾，燥湿。用于胃脘胀痛。
"【药品名称】
通用名称：香砂平胃丸
汉语拼音：Xiangsha Pingwei Wan",【成份】苍术、陈皮、厚朴(姜制)、砂仁、木香、甘草。,【性状】本品为棕褐色的水丸；气芳香，味辛苦。,【功能主治】健脾，燥湿。用于胃脘胀痛。
"【药品名称】
通用名称：香砂养胃颗粒
汉语拼音：Xiang Sha Yang Wei Ke Li",【成份】木香、砂仁、白术、半夏(制)、茯苓、香附(醋制)、陈皮、枳实（炒）、豆蔻(去壳)、广藿香、厚朴(姜制)、甘草。,,【功能主治】温中和胃。用于不思饮食，胃脘满闷或泛吐酸水。
"【药品名称】
通用名称：香砂枳术丸
汉语拼音：Xiang Sha Zhi Zhu Wan",【成份】木香、枳实(麸炒)、砂仁、白术(麸炒)。,,
"【药品名称】
通用名称：消风止痒颗粒
汉语拼音：Xiaofeng Zhiyang Keli",【成份】防风、蝉蜕、地骨皮、苍术、亚麻子、当归、地黄、关木通、荆芥、石膏、甘草、,【性状】本品为浅棕色颗粒或方形块状；气香，味甜。,【功能主治】　消风清热，除湿止痒。主治丘疹样{寻}麻疹，也用于湿疹、皮肤瘙痒症。
"【药品名称】
通用名称：小柴胡泡腾片
汉语拼音：xiaochaihu paotengpian",【成份】柴胡、黄芩、姜半夏、党参、生姜、大枣、甘草。、,【性状】本品为浅灰色至浅棕色的片；味酸甜。,【功能主治】解表散热，和解少阳。用于外感病邪犯少阳证，症见寒热往来、胸胁苦满、食欲不振、心烦喜呕、口苦咽干。
"【药品名称】
通用名称：新生化颗粒
汉语拼音：Xinshenghua Keli",【成份】当归、川芎、桃仁、炙甘草、干姜（炭）、益母草、红花。、。。、。辅料为：红糖。,【性状】本品为黄棕色至黄褐色的颗粒；味甘、微苦。,"【功能主治】活血、祛瘀、止痛。用于产后恶露不行，少腹疼痛，也可试用于上节育环后引
起的阴道流血，月经过多。"
"【药品名称】
通用名称：小儿敷脐止泻散
汉语拼音：Xiao'er Fuqi Zhixie San",【成份】黑胡椒,,【功能主治】温中散寒，止泻。主治小儿中寒、腹泻、腹痛。
"【药品名称】
通用名称：小儿抗痫胶囊
汉语拼音：Xiao'er Kangxian Jiaonang",【成份】胆南星、天麻、太子参、茯苓、水半夏(制)、橘红、九节菖蒲、青果、琥珀、沉香、六神曲(麸炒)、枳壳(麸炒)、川芎、羌活。,【性状】胶囊剂，内容物为棕黄色粉末，味微苦。,【功能主治】豁痰熄风，健脾理气。用于原发性全身性强直一阵挛发作型儿童癫痫风痰闭阻证，发作时症见四肢抽搐、口吐涎沫、二日上窜、甚至昏仆。
"【药品名称】
通用名称：小儿胃宝丸
汉语拼音：Xiaoer Weibao Wan",【成份】山楂(炒)、山药(炒)、麦芽(炒)、六神曲(炒)、鸡蛋壳(焙)。,【性状】本品为红、黄、绿及白色的水丸；气香，味酸甜。,【功能主治】消食化积，健脾养胃。用于伤食伤乳，呕吐泄泻，脾虚胃弱，消化不良。
